,n32,n64,n128,n256,n512,n1024,n2048,n4096,n8192,n16384
avg_2seg_orient,0.608,0.73,0.804,0.859,0.9,0.93,0.953,0.968,0.978,0.985
avg_3seg_orient,0.606,0.709,0.791,0.836,0.886,0.921,0.938,0.96,0.969,0.979
seg2_same_orient,0.606,0.708,0.779,0.836,0.889,0.919,0.939,0.96,0.97,0.978
seg2_3_same_orient,0.62,0.702,0.771,0.845,0.882,0.913,0.939,0.957,0.97,0.979
seg2_dist_to_left,0.404,0.527,0.636,0.729,0.802,0.863,0.905,0.942,0.965,0.975
seg2_dist_to_right,0.38,0.519,0.626,0.729,0.797,0.855,0.905,0.937,0.958,0.973
seg2_dist_to_upper,0.404,0.519,0.656,0.734,0.8,0.874,0.911,0.941,0.963,0.975
seg2_dist_to_bottom,0.404,0.524,0.645,0.731,0.805,0.871,0.909,0.94,0.962,0.975
seg3_dist_to_left,0.458,0.57,0.682,0.752,0.816,0.861,0.902,0.93,0.951,0.964
seg3_dist_to_right,0.472,0.561,0.671,0.743,0.807,0.86,0.902,0.932,0.95,0.963
seg3_dist_to_upper,0.458,0.57,0.677,0.746,0.818,0.865,0.903,0.926,0.949,0.965
seg3_dist_to_bottom,0.472,0.579,0.687,0.743,0.818,0.865,0.899,0.925,0.952,0.965
avg_spread_2_2,0.503,0.608,0.699,0.78,0.839,0.877,0.914,0.938,0.954,0.968
avg_spread_2_3,0.453,0.583,0.688,0.763,0.83,0.882,0.905,0.937,0.953,0.967
avg_spread_all,0.462,0.58,0.689,0.766,0.837,0.875,0.913,0.939,0.953,0.968
seg2_ships_whole_at_edge,0.607,0.7,0.768,0.843,0.883,0.915,0.938,0.957,0.97,0.978
seg3_ships_whole_at_edge,0.606,0.708,0.779,0.842,0.885,0.919,0.941,0.957,0.97,0.978
total_ships_whole_at_edge,0.588,0.709,0.816,0.876,0.907,0.933,0.95,0.968,0.975,0.983
seg2_ships_touching_edge,0.605,0.709,0.782,0.85,0.883,0.917,0.939,0.955,0.968,0.978
seg3_ships_touching_edge,0.62,0.695,0.787,0.843,0.882,0.914,0.944,0.958,0.968,0.979
total_ships_touching_edge,0.626,0.732,0.816,0.869,0.9,0.928,0.95,0.965,0.973,0.982
